r_disturb p_disturb y_disturb r_out p_out y_out y_ref p_ref r_ref time
-0.18 0.09 -0.24 0.07 0.02 -0.09 0.00 0.00 0.00 103.094
-0.18 0.07 -0.24 0.13 0.05 -0.07 0.00 0.00 0.00 103.128
-0.17 0.06 -0.25 0.12 0.06 -0.05 0.00 0.00 0.00 103.162
-0.18 0.05 -0.23 0.04 0.07 -0.04 0.00 0.00 0.00 103.197
-0.19 0.04 -0.20 0.08 0.07 -0.03 0.00 0.00 0.00 103.229
-0.21 0.03 -0.17 0.12 0.07 -0.01 0.00 0.00 0.00 103.263
-0.23 0.02 -0.13 0.00 0.06 0.00 0.00 0.00 0.00 103.294
-0.28 0.02 -0.02 0.08 0.08 0.06 0.00 0.00 0.00 103.362
-0.33 0.03 0.07 0.04 0.06 0.11 0.00 0.00 0.00 103.427
-0.34 0.04 0.10 -0.07 0.06 0.11 0.00 0.00 0.00 103.461
-0.36 0.06 0.14 -0.09 0.05 0.09 0.00 0.00 0.00 103.494
-0.37 0.08 0.17 -0.05 0.05 0.09 0.00 0.00 0.00 103.528
-0.38 0.10 0.19 -0.04 0.04 0.08 0.00 0.00 0.00 103.560
-0.39 0.11 0.22 -0.06 0.02 0.08 0.00 0.00 0.00 103.594
-0.40 0.14 0.23 -0.07 0.01 0.07 0.00 0.00 0.00 103.627
-0.41 0.16 0.24 -0.05 -0.01 0.07 0.00 0.00 0.00 103.661
-0.41 0.19 0.25 -0.05 -0.02 0.07 0.00 0.00 0.00 103.697
-0.41 0.21 0.24 -0.05 -0.04 0.07 0.00 0.00 0.00 103.728
-0.41 0.23 0.23 -0.05 -0.06 0.06 0.00 0.00 0.00 103.761
-0.42 0.27 0.20 -0.05 -0.06 0.04 0.00 0.00 0.00 103.794
-0.43 0.30 0.18 -0.05 -0.07 0.04 0.00 0.00 0.00 103.827
-0.43 0.33 0.16 -0.07 -0.08 0.03 0.00 0.00 0.00 103.862
-0.44 0.36 0.13 -0.03 -0.07 0.02 0.00 0.00 0.00 103.895
-0.45 0.38 0.09 -0.02 -0.05 0.02 0.00 0.00 0.00 103.927
-0.46 0.39 0.04 0.04 -0.05 -0.00 0.00 0.00 0.00 103.960
-0.47 0.41 -0.02 0.07 -0.06 -0.01 0.00 0.00 0.00 103.996
-0.48 0.43 -0.07 -0.02 -0.06 -0.02 0.00 0.00 0.00 104.028
-0.48 0.42 -0.15 -0.01 -0.04 -0.07 0.00 0.00 0.00 104.093
-0.47 0.42 -0.19 -0.03 -0.02 -0.08 0.00 0.00 0.00 104.129
-0.46 0.41 -0.28 -0.09 -0.02 -0.14 0.00 0.00 0.00 104.198
-0.45 0.40 -0.30 -0.05 0.00 -0.15 0.00 0.00 0.00 104.228
-0.44 0.38 -0.33 -0.04 0.01 -0.16 0.00 0.00 0.00 104.261
-0.42 0.37 -0.37 0.01 0.03 -0.16 0.00 0.00 0.00 104.296
-0.41 0.35 -0.41 0.03 0.05 -0.16 0.00 0.00 0.00 104.327
-0.40 0.35 -0.42 -0.01 0.06 -0.16 0.00 0.00 0.00 104.362
-0.40 0.34 -0.44 0.04 0.05 -0.15 0.00 0.00 0.00 104.393
-0.39 0.32 -0.45 0.04 0.05 -0.13 0.00 0.00 0.00 104.427
-0.38 0.30 -0.46 0.03 0.06 -0.12 0.00 0.00 0.00 104.462
-0.37 0.29 -0.48 0.00 0.06 -0.13 0.00 0.00 0.00 104.494
-0.35 0.27 -0.51 0.02 0.06 -0.12 0.00 0.00 0.00 104.530
-0.32 0.25 -0.53 0.04 0.07 -0.13 0.00 0.00 0.00 104.562
-0.31 0.23 -0.53 0.05 0.09 -0.13 0.00 0.00 0.00 104.593
-0.30 0.21 -0.52 0.04 0.07 -0.10 0.00 0.00 0.00 104.632
-0.29 0.19 -0.51 0.03 0.06 -0.09 0.00 0.00 0.00 104.664
-0.28 0.17 -0.49 0.09 0.07 -0.08 0.00 0.00 0.00 104.700
-0.28 0.15 -0.47 0.08 0.08 -0.05 0.00 0.00 0.00 104.727
-0.28 0.13 -0.44 0.10 0.07 -0.04 0.00 0.00 0.00 104.764
-0.28 0.10 -0.41 0.01 0.07 -0.03 0.00 0.00 0.00 104.795
-0.28 0.07 -0.35 -0.02 0.08 -0.01 0.00 0.00 0.00 104.829
-0.31 0.03 -0.25 -0.01 0.10 0.06 0.00 0.00 0.00 104.926
-0.39 0.05 -0.12 0.02 0.08 0.12 0.00 0.00 0.00 105.027
-0.41 0.05 -0.08 0.01 0.08 0.10 0.00 0.00 0.00 105.062
-0.43 0.06 -0.04 0.01 0.07 0.11 0.00 0.00 0.00 105.093
-0.45 0.07 -0.01 0.04 0.07 0.12 0.00 0.00 0.00 105.126
-0.48 0.09 0.03 0.02 0.07 0.10 0.00 0.00 0.00 105.161
-0.50 0.10 0.06 0.02 0.06 0.10 0.00 0.00 0.00 105.196
-0.52 0.11 0.10 0.01 0.07 0.10 0.00 0.00 0.00 105.227
-0.54 0.13 0.13 -0.04 0.06 0.10 0.00 0.00 0.00 105.261
-0.56 0.14 0.16 -0.05 0.06 0.10 0.00 0.00 0.00 105.294
-0.58 0.15 0.21 -0.09 0.07 0.09 0.00 0.00 0.00 105.327
-0.59 0.16 0.23 -0.08 0.07 0.08 0.00 0.00 0.00 105.361
-0.60 0.17 0.24 -0.06 0.07 0.08 0.00 0.00 0.00 105.392
-0.61 0.18 0.24 -0.09 0.06 0.08 0.00 0.00 0.00 105.428
-0.62 0.18 0.22 -0.12 0.05 0.07 0.00 0.00 0.00 105.461
-0.62 0.19 0.20 -0.08 0.04 0.06 0.00 0.00 0.00 105.494
-0.62 0.20 0.14 -0.10 0.02 0.05 0.00 0.00 0.00 105.529
-0.62 0.20 0.08 -0.01 0.00 0.03 0.00 0.00 0.00 105.560
-0.62 0.19 0.02 -0.04 -0.03 0.00 0.00 0.00 0.00 105.593
-0.60 0.20 -0.07 -0.04 -0.04 -0.03 0.00 0.00 0.00 105.627
-0.57 0.20 -0.19 -0.07 -0.06 -0.10 0.00 0.00 0.00 105.694
-0.54 0.20 -0.24 -0.10 -0.05 -0.14 0.00 0.00 0.00 105.727
-0.52 0.20 -0.28 0.01 -0.03 -0.16 0.00 0.00 0.00 105.761
-0.50 0.19 -0.31 0.07 -0.01 -0.17 0.00 0.00 0.00 105.793
-0.47 0.18 -0.34 0.08 0.01 -0.17 0.00 0.00 0.00 105.827
-0.45 0.18 -0.35 0.06 0.02 -0.15 0.00 0.00 0.00 105.861
-0.44 0.16 -0.35 0.08 0.02 -0.14 0.00 0.00 0.00 105.892
-0.42 0.15 -0.35 0.10 0.03 -0.12 0.00 0.00 0.00 105.927
-0.41 0.13 -0.33 0.06 0.04 -0.11 0.00 0.00 0.00 105.960
-0.41 0.12 -0.30 0.04 0.06 -0.09 0.00 0.00 0.00 105.993
-0.42 0.11 -0.25 -0.06 0.05 -0.07 0.00 0.00 0.00 106.032
-0.43 0.11 -0.22 0.02 0.06 -0.04 0.00 0.00 0.00 106.062
-0.43 0.11 -0.18 -0.02 0.05 -0.02 0.00 0.00 0.00 106.095
-0.44 0.10 -0.15 -0.03 0.06 -0.00 0.00 0.00 0.00 106.129
-0.44 0.09 -0.14 -0.07 0.07 0.01 0.00 0.00 0.00 106.160
-0.44 0.09 -0.12 -0.06 0.07 0.01 0.00 0.00 0.00 106.195
-0.44 0.09 -0.11 -0.08 0.07 0.02 0.00 0.00 0.00 106.226
-0.44 0.08 -0.10 -0.05 0.08 0.02 0.00 0.00 0.00 106.261
-0.44 0.07 -0.08 0.02 0.08 0.03 0.00 0.00 0.00 106.294
-0.45 0.07 -0.06 0.02 0.09 0.04 0.00 0.00 0.00 106.328
-0.45 0.07 -0.05 -0.01 0.08 0.04 0.00 0.00 0.00 106.362
-0.46 0.07 -0.03 -0.02 0.08 0.05 0.00 0.00 0.00 106.397
-0.46 0.08 -0.02 -0.01 0.07 0.05 0.00 0.00 0.00 106.430
-0.47 0.08 0.00 -0.00 0.06 0.05 0.00 0.00 0.00 106.463
-0.47 0.08 0.02 -0.02 0.06 0.06 0.00 0.00 0.00 106.496
-0.47 0.07 0.03 -0.01 0.07 0.06 0.00 0.00 0.00 106.528
-0.47 0.07 0.03 0.01 0.07 0.05 0.00 0.00 0.00 106.561
-0.47 0.07 0.04 -0.04 0.08 0.04 0.00 0.00 0.00 106.593
-0.47 0.08 0.04 -0.02 0.07 0.04 0.00 0.00 0.00 106.630
-0.48 0.08 0.04 0.00 0.08 0.04 0.00 0.00 0.00 106.662
-0.48 0.08 0.04 -0.05 0.08 0.04 0.00 0.00 0.00 106.694
-0.48 0.08 0.05 -0.07 0.07 0.05 0.00 0.00 0.00 106.725
-0.47 0.07 0.06 -0.13 0.08 0.04 0.00 0.00 0.00 106.759
-0.47 0.07 0.06 -0.11 0.09 0.04 0.00 0.00 0.00 106.793
-0.47 0.06 0.06 -0.05 0.09 0.05 0.00 0.00 0.00 106.828
-0.46 0.06 0.07 -0.07 0.09 0.05 0.00 0.00 0.00 106.863
-0.46 0.06 0.07 -0.02 0.09 0.05 0.00 0.00 0.00 106.896
-0.46 0.06 0.07 -0.04 0.08 0.05 0.00 0.00 0.00 106.928
-0.46 0.05 0.07 -0.03 0.07 0.05 0.00 0.00 0.00 106.960
