r_disturb p_disturb y_disturb r_out p_out y_out y_ref p_ref r_ref time
-0.26 -0.19 -0.24 -0.08 0.12 0.04 0.30 0.00 0.00 93.372
-0.30 -0.24 -0.15 -0.12 0.12 0.09 0.30 0.00 0.00 93.433
-0.32 -0.26 -0.12 0.06 0.14 0.11 0.30 0.00 0.00 93.467
-0.35 -0.28 -0.08 0.10 0.12 0.13 0.30 0.00 0.00 93.499
-0.38 -0.29 -0.03 0.06 0.12 0.14 0.30 0.00 0.00 93.534
-0.41 -0.28 0.01 -0.05 0.09 0.12 0.30 0.00 0.00 93.568
-0.44 -0.27 0.06 -0.01 0.08 0.10 0.30 0.00 0.00 93.600
-0.47 -0.23 0.11 -0.02 0.06 0.10 0.30 0.00 0.00 93.633
-0.49 -0.20 0.14 -0.01 0.04 0.10 0.30 0.00 0.00 93.668
-0.52 -0.17 0.17 -0.04 0.02 0.11 0.30 0.00 0.00 93.702
-0.54 -0.14 0.20 -0.06 -0.00 0.12 0.30 0.00 0.00 93.733
-0.56 -0.11 0.22 -0.09 -0.02 0.12 0.30 0.00 0.00 93.767
-0.57 -0.08 0.23 -0.10 -0.04 0.12 0.30 0.00 0.00 93.799
-0.58 -0.04 0.23 -0.09 -0.05 0.13 0.30 0.00 0.00 93.835
-0.59 -0.01 0.24 -0.10 -0.06 0.12 0.30 0.00 0.00 93.870
-0.59 0.02 0.23 -0.06 -0.06 0.12 0.30 0.00 0.00 93.900
-0.59 0.06 0.21 -0.04 -0.06 0.10 0.30 0.00 0.00 93.935
-0.59 0.09 0.18 -0.01 -0.06 0.09 0.30 0.00 0.00 93.967
-0.58 0.13 0.15 -0.04 -0.08 0.08 0.30 0.00 0.00 94.001
-0.57 0.19 0.06 -0.05 -0.31 0.02 0.30 0.30 0.00 94.067
-0.56 0.22 0.00 -0.02 -0.30 -0.01 0.30 0.30 0.00 94.101
-0.55 0.23 -0.03 0.00 -0.28 -0.03 0.30 0.30 0.00 94.134
-0.54 0.24 -0.12 -0.03 -0.05 -0.09 0.30 0.30 0.00 94.201
-0.53 0.25 -0.19 -0.00 -0.03 -0.12 0.30 0.30 0.00 94.234
-0.52 0.25 -0.23 0.01 -0.03 -0.14 0.30 0.30 0.00 94.266
-0.51 0.25 -0.26 0.06 -0.05 -0.16 0.30 0.30 0.00 94.299
-0.50 0.23 -0.30 0.01 -0.06 -0.16 0.30 0.30 0.00 94.333
-0.48 0.21 -0.32 0.02 -0.06 -0.16 0.30 0.30 0.00 94.367
-0.46 0.18 -0.34 -0.04 -0.04 -0.17 0.30 0.30 0.00 94.399
-0.45 0.14 -0.35 0.02 0.01 -0.15 0.30 0.30 0.00 94.432
-0.44 0.11 -0.34 -0.02 0.04 -0.12 0.30 0.30 0.00 94.465
-0.43 0.07 -0.33 -0.01 0.10 -0.10 0.30 0.30 0.00 94.499
-0.43 0.03 -0.31 0.08 0.12 -0.08 0.30 0.30 0.00 94.534
-0.44 -0.00 -0.29 -0.02 0.10 -0.06 0.30 0.30 0.00 94.567
-0.45 -0.04 -0.25 0.02 0.11 -0.04 0.30 0.30 0.00 94.601
-0.47 -0.08 -0.17 0.03 0.11 0.00 0.30 0.30 0.00 94.668
-0.49 -0.11 -0.13 0.04 0.12 0.03 0.30 0.30 0.00 94.701
-0.52 -0.13 -0.05 0.04 0.12 0.07 0.30 0.30 0.00 94.765
-0.54 -0.15 -0.00 -0.06 0.12 0.07 0.30 0.30 0.00 94.799
-0.56 -0.15 0.06 -0.08 0.12 0.07 0.30 0.30 0.00 94.833
-0.59 -0.14 0.14 0.03 0.13 0.10 0.30 0.30 0.00 94.900
-0.61 -0.12 0.19 0.02 0.11 0.12 0.30 0.30 0.00 94.932
-0.62 -0.11 0.23 -0.09 0.11 0.13 0.30 0.30 0.00 94.965
-0.64 -0.08 0.28 -0.13 0.09 0.10 0.30 0.30 0.00 95.000
-0.65 -0.06 0.31 -0.12 0.07 0.11 0.30 0.30 0.00 95.033
-0.65 0.02 0.31 -0.07 0.04 0.16 0.30 0.30 0.00 95.101
-0.64 0.05 0.30 -0.08 0.01 0.16 0.30 0.30 0.00 95.131
-0.61 0.13 0.22 -0.08 -0.05 0.08 0.30 0.30 0.00 95.232
-0.60 0.15 0.19 -0.08 -0.05 0.07 0.30 0.30 0.00 95.265
-0.59 0.16 0.16 -0.08 -0.06 0.06 0.30 0.30 0.00 95.298
-0.57 0.17 0.10 -0.08 -0.06 0.04 0.30 0.30 0.00 95.333
-0.55 0.19 0.06 -0.06 -0.06 0.03 0.30 0.30 0.00 95.367
-0.55 0.20 0.02 -0.04 -0.05 -0.00 0.30 0.30 0.00 95.398
-0.54 0.21 -0.01 -0.00 -0.04 -0.03 0.30 0.30 0.00 95.432
-0.52 0.21 -0.06 -0.02 -0.03 -0.04 0.30 0.30 0.00 95.466
-0.48 0.20 -0.15 0.04 -0.01 -0.11 0.30 0.30 0.00 95.536
-0.47 0.19 -0.18 0.08 0.01 -0.13 0.30 0.30 0.00 95.568
-0.46 0.18 -0.21 0.06 -0.00 -0.14 0.30 0.30 0.00 95.601
-0.42 0.06 -0.26 0.10 0.04 -0.13 0.30 0.30 0.00 95.732
-0.43 0.02 -0.24 0.06 0.05 -0.13 0.30 0.30 0.00 95.766
-0.43 -0.01 -0.21 0.06 0.05 -0.11 0.30 0.30 0.00 95.798
-0.45 -0.06 -0.18 0.06 0.07 -0.10 0.30 0.30 0.00 95.832
-0.50 -0.11 -0.11 0.03 0.07 -0.04 0.30 0.30 0.00 95.931
-0.52 -0.13 -0.05 -0.01 0.10 -0.02 0.30 0.30 0.00 95.965
-0.56 -0.16 0.03 -0.09 0.08 0.02 0.30 0.30 0.00 96.034
-0.57 -0.18 0.06 -0.16 0.09 -0.54 -0.30 0.30 0.00 96.065
-0.66 -0.11 0.36 -0.12 0.07 0.02 -0.30 0.30 0.00 96.367
-0.66 -0.09 0.39 -0.05 0.07 0.03 -0.30 0.30 0.00 96.398
-0.66 -0.05 0.41 -0.02 0.04 0.03 -0.30 0.30 0.00 96.433
-0.65 -0.01 0.41 -0.01 0.00 0.02 -0.30 0.30 0.00 96.466
-0.64 0.02 0.39 -0.01 -0.04 0.01 -0.30 0.30 0.00 96.500
-0.61 0.05 0.35 -0.02 -0.05 0.00 -0.30 0.30 0.00 96.535
-0.59 0.07 0.32 -0.05 -0.06 -0.01 -0.30 0.30 0.00 96.566
-0.58 0.09 0.30 -0.04 -0.06 -0.02 -0.30 0.30 0.00 96.599
-0.56 0.10 0.26 -0.05 -0.05 -0.03 -0.30 0.30 0.00 96.635
-0.54 0.11 0.22 -0.03 -0.05 -0.05 -0.30 0.30 0.00 96.668
-0.52 0.13 0.19 -0.03 -0.05 -0.07 -0.30 0.30 0.00 96.703
