r_disturb p_disturb y_disturb r_out p_out y_out y_ref p_ref r_ref time
0.14 -0.07 -0.02 0.03 0.02 0.02 0.30 0.00 0.00 125.280
0.14 -0.07 -0.02 0.02 0.02 0.02 0.30 0.00 0.00 125.317
0.14 -0.07 -0.02 0.03 0.02 0.02 0.30 0.00 0.00 125.347
0.14 -0.07 -0.02 0.03 0.02 0.02 0.30 0.00 0.00 125.384
0.14 -0.07 -0.02 0.03 0.02 0.02 0.30 0.00 0.00 125.415
0.14 -0.07 -0.02 0.03 0.02 0.02 0.30 0.00 0.00 125.448
0.14 -0.07 -0.02 0.03 0.02 0.02 0.30 0.00 0.00 125.483
0.14 -0.07 -0.02 0.03 0.02 0.02 0.30 0.00 0.00 125.516
0.14 -0.07 -0.02 0.03 0.02 0.02 0.30 0.00 0.00 125.547
0.14 -0.07 -0.02 0.03 0.02 0.02 0.30 0.00 0.00 125.581
0.14 -0.07 -0.02 0.03 0.02 0.02 0.30 0.00 0.00 125.615
0.14 -0.07 -0.02 0.03 0.02 0.02 0.30 0.00 0.00 125.649
0.14 -0.07 -0.02 0.03 0.02 0.02 0.30 0.00 0.00 125.680
0.14 -0.07 -0.02 0.03 0.02 0.02 0.30 0.00 0.00 125.714
0.14 -0.07 -0.02 0.03 0.02 0.02 0.30 0.00 0.00 125.749
0.14 -0.07 -0.02 0.03 0.02 0.02 0.30 0.00 0.00 125.783
0.14 -0.07 -0.02 0.03 0.02 0.02 0.30 0.00 0.00 125.817
0.14 -0.07 -0.02 0.03 0.02 0.02 0.30 0.00 0.00 125.849
0.14 -0.07 -0.02 0.03 0.02 0.02 0.30 0.00 0.00 125.880
0.14 -0.07 -0.02 0.02 0.02 0.02 0.30 0.00 0.00 125.914
0.14 -0.07 -0.02 0.03 0.02 0.02 0.30 0.00 0.00 125.948
0.14 -0.07 -0.02 0.03 0.02 0.02 0.30 0.00 0.00 125.984
0.14 -0.07 -0.02 0.03 0.02 0.02 0.30 0.00 0.00 126.014
0.14 -0.07 -0.02 0.02 0.02 0.02 0.30 0.00 0.00 126.047
0.14 -0.07 -0.02 0.02 0.02 0.02 0.30 0.00 0.00 126.081
0.14 -0.07 -0.02 0.02 0.02 0.02 0.30 0.00 0.00 126.115
0.14 -0.07 -0.02 0.02 0.02 0.02 0.30 0.00 0.00 126.150
0.14 -0.07 -0.02 0.02 -0.20 0.02 0.30 0.30 0.00 126.183
0.14 -0.07 -0.02 0.02 -0.20 0.02 0.30 0.30 0.00 126.214
0.14 -0.07 -0.02 0.01 -0.20 0.02 0.30 0.30 0.00 126.247
0.14 -0.07 -0.02 -0.13 -0.09 0.02 0.30 0.30 0.00 126.281
0.14 -0.07 -0.02 -0.07 0.10 0.00 0.30 0.30 0.00 126.315
0.14 -0.07 -0.02 -0.03 0.10 0.00 0.30 0.30 0.00 126.347
0.14 -0.07 -0.02 -0.02 0.10 0.02 0.30 0.30 0.00 126.382
0.14 -0.07 -0.02 -0.03 0.04 0.03 0.30 0.30 0.00 126.415
0.14 -0.07 -0.02 -0.02 0.03 0.03 0.30 0.30 0.00 126.447
0.14 -0.07 -0.02 -0.01 0.03 0.02 0.30 0.30 0.00 126.483
0.14 -0.07 -0.02 0.02 0.03 0.02 0.30 0.30 0.00 126.514
0.14 -0.07 -0.02 0.03 0.02 0.02 0.30 0.30 0.00 126.547
0.14 -0.07 -0.02 0.03 0.02 0.02 0.30 0.30 0.00 126.581
0.14 -0.07 -0.02 0.03 0.03 0.02 0.30 0.30 0.00 126.614
0.14 -0.07 -0.02 0.02 0.02 0.02 0.30 0.30 0.00 126.649
0.14 -0.07 -0.02 0.03 0.02 0.02 0.30 0.30 0.00 126.682
0.14 -0.07 -0.02 0.02 0.02 0.02 0.30 0.30 0.00 126.713
0.14 -0.07 -0.02 0.02 0.02 0.02 0.30 0.30 0.00 126.753
0.14 -0.07 -0.02 0.01 0.02 0.02 0.30 0.30 0.00 126.783
0.14 -0.07 -0.02 0.01 0.02 0.02 0.30 0.30 0.00 126.815
0.14 -0.07 -0.02 0.00 0.02 0.02 0.30 0.30 0.00 126.847
0.14 -0.07 -0.02 0.01 0.02 0.02 0.30 0.30 0.00 126.881
0.14 -0.07 -0.02 0.01 0.02 0.02 0.30 0.30 0.00 126.914
0.14 -0.07 -0.02 0.01 0.02 0.02 0.30 0.30 0.00 126.948
0.14 -0.07 -0.02 0.01 0.02 0.02 0.30 0.30 0.00 126.981
0.14 -0.07 -0.02 0.00 0.02 0.02 0.30 0.30 0.00 127.014
0.14 -0.07 -0.02 0.01 0.02 0.02 0.30 0.30 0.00 127.047
0.14 -0.07 -0.02 0.00 0.02 0.02 0.30 0.30 0.00 127.080
0.14 -0.07 -0.02 0.00 0.02 0.02 0.30 0.30 0.00 127.114
0.14 -0.07 -0.02 0.01 0.02 0.02 0.30 0.30 0.00 127.149
0.14 -0.07 -0.02 -0.00 0.02 0.02 0.30 0.30 0.00 127.180
0.14 -0.07 -0.02 0.00 0.02 0.02 0.30 0.30 0.00 127.213
0.14 -0.07 -0.02 0.00 0.02 0.02 0.30 0.30 0.00 127.247
0.14 -0.07 -0.02 0.00 0.02 0.02 0.30 0.30 0.00 127.280
0.14 -0.07 -0.02 0.00 0.02 0.02 0.30 0.30 0.00 127.315
0.14 -0.07 -0.02 0.00 0.02 0.02 0.30 0.30 0.00 127.348
0.14 -0.07 -0.02 0.00 0.02 0.02 0.30 0.30 0.00 127.380
0.14 -0.07 -0.02 0.00 0.02 0.02 0.30 0.30 0.00 127.413
0.14 -0.07 -0.02 0.01 0.02 0.02 0.30 0.30 0.00 127.448
0.14 -0.07 -0.02 0.00 0.02 0.02 0.30 0.30 0.00 127.484
0.14 -0.07 -0.02 0.01 0.02 0.02 0.30 0.30 0.00 127.515
0.14 -0.07 -0.02 0.00 0.02 0.02 0.30 0.30 0.00 127.548
0.14 -0.07 -0.02 0.00 0.02 0.02 0.30 0.30 0.00 127.580
0.14 -0.07 -0.02 0.00 0.02 0.02 0.30 0.30 0.00 127.615
0.14 -0.07 -0.02 -0.00 0.02 0.02 0.30 0.30 0.00 127.650
0.14 -0.07 -0.02 -0.00 0.02 0.02 0.30 0.30 0.00 127.681
0.14 -0.07 -0.02 0.00 0.02 0.02 0.30 0.30 0.00 127.714
0.14 -0.07 -0.02 0.01 0.02 0.02 0.30 0.30 0.00 127.756
0.14 -0.07 -0.02 -0.00 0.02 0.02 0.30 0.30 0.00 127.781
0.14 -0.07 -0.02 0.00 0.02 0.02 0.30 0.30 0.00 127.815
0.14 -0.07 -0.02 0.00 0.02 0.02 0.30 0.30 0.00 127.848
0.14 -0.07 -0.02 -0.00 0.02 0.02 0.30 0.30 0.00 127.881
0.14 -0.07 -0.02 -0.01 0.02 0.02 0.30 0.30 0.00 127.914
0.14 -0.07 -0.02 -0.00 0.02 0.02 0.30 0.30 0.00 127.946
0.14 -0.07 -0.02 0.00 0.02 0.02 0.30 0.30 0.00 127.982
0.14 -0.07 -0.02 0.00 0.02 0.02 0.30 0.30 0.00 128.013
0.14 -0.07 -0.02 -0.00 0.02 0.02 0.30 0.30 0.00 128.046
0.14 -0.07 -0.02 -0.01 0.02 0.02 0.30 0.30 0.00 128.080
0.14 -0.07 -0.02 -0.01 0.02 0.02 0.30 0.30 0.00 128.114
0.14 -0.07 -0.02 -0.00 0.02 0.02 0.30 0.30 0.00 128.148
0.14 -0.07 -0.02 -0.00 0.02 -0.56 -0.30 0.30 0.00 128.181
0.14 -0.07 -0.02 -0.01 0.02 -0.56 -0.30 0.30 0.00 128.215
0.14 -0.07 -0.02 0.01 0.02 -0.56 -0.30 0.30 0.00 128.248
0.15 -0.07 -0.02 -0.01 0.01 -0.03 -0.30 0.30 0.00 128.380
0.15 -0.07 -0.02 -0.01 0.01 -0.03 -0.30 0.30 0.00 128.413
0.15 -0.07 -0.02 -0.04 0.01 -0.04 -0.30 0.30 0.00 128.447
0.15 -0.07 -0.02 -0.04 0.01 -0.04 -0.30 0.30 0.00 128.481
0.15 -0.07 -0.02 -0.06 0.01 -0.04 -0.30 0.30 0.00 128.514
0.15 -0.07 -0.02 -0.07 0.01 -0.04 -0.30 0.30 0.00 128.546
0.15 -0.07 -0.02 -0.08 0.01 -0.04 -0.30 0.30 0.00 128.579
0.15 -0.07 -0.02 -0.05 0.00 -0.03 -0.30 0.30 0.00 128.614
0.15 -0.07 -0.02 -0.03 0.00 -0.03 -0.30 0.30 0.00 128.650
0.15 -0.07 -0.02 -0.05 0.00 -0.02 -0.30 0.30 0.00 128.679
0.15 -0.07 -0.02 -0.06 0.00 -0.03 -0.30 0.30 0.00 128.716
0.15 -0.07 -0.02 -0.05 -0.00 -0.03 -0.30 0.30 0.00 128.748
0.15 -0.07 -0.02 -0.02 -0.00 -0.02 -0.30 0.30 0.00 128.783
0.15 -0.07 -0.02 -0.05 0.00 -0.02 -0.30 0.30 0.00 128.817
0.15 -0.07 -0.02 -0.07 0.00 -0.02 -0.30 0.30 0.00 128.847
0.15 -0.07 -0.02 -0.06 -0.01 -0.01 -0.30 0.30 0.00 128.880
0.15 -0.07 -0.02 -0.03 -0.02 -0.01 -0.30 0.30 0.00 128.914
0.15 -0.07 -0.02 -0.01 -0.02 -0.00 -0.30 0.30 0.00 128.947
0.15 -0.07 -0.02 -0.00 -0.02 -0.00 -0.30 0.30 0.00 128.982
0.15 -0.07 -0.02 -0.00 -0.01 0.00 -0.30 0.30 0.00 129.014
0.15 -0.07 -0.02 -0.01 -0.00 0.00 -0.30 0.30 0.00 129.046
0.15 -0.07 -0.02 0.00 0.00 0.00 -0.30 0.30 0.00 129.081
0.15 -0.07 -0.02 0.00 0.00 0.00 -0.30 0.30 0.00 129.116
0.15 -0.07 -0.02 -0.00 0.00 0.00 -0.30 0.30 0.00 129.149
0.15 -0.07 -0.02 -0.00 0.00 0.00 -0.30 0.30 0.00 129.179
0.15 -0.07 -0.02 -0.01 0.00 0.00 -0.30 0.30 0.00 129.212
0.15 -0.07 -0.02 -0.01 0.00 0.00 -0.30 0.30 0.00 129.246
0.15 -0.07 -0.02 -0.01 0.00 0.00 -0.30 0.30 0.00 129.279
0.15 -0.07 -0.02 -0.02 0.00 0.00 -0.30 0.30 0.00 129.314
0.15 -0.07 -0.02 0.00 0.00 0.00 -0.30 0.30 0.00 129.347
0.15 -0.07 -0.02 0.01 0.00 0.00 -0.30 0.30 0.00 129.381
0.15 -0.07 -0.02 0.01 0.00 0.00 -0.30 0.30 0.00 129.412
0.15 -0.07 -0.02 0.02 0.00 0.00 -0.30 0.30 0.00 129.447
0.15 -0.07 -0.02 0.01 0.00 0.00 -0.30 0.30 0.00 129.480
0.15 -0.07 -0.02 0.01 0.00 0.00 -0.30 0.30 0.00 129.513
0.15 -0.07 -0.02 0.02 0.00 0.00 -0.30 0.30 0.00 129.545
0.15 -0.07 -0.02 0.03 0.00 0.00 -0.30 0.30 0.00 129.579
0.15 -0.07 -0.02 0.03 0.00 0.00 -0.30 0.30 0.00 129.612
0.15 -0.07 -0.02 0.03 0.00 0.00 -0.30 0.30 0.00 129.647
0.15 -0.07 -0.02 0.03 0.00 0.00 -0.30 0.30 0.00 129.679
0.15 -0.07 -0.02 0.02 0.00 0.00 -0.30 0.30 0.00 129.712
0.15 -0.07 -0.02 0.01 0.00 0.00 -0.30 0.30 0.00 129.745
0.15 -0.07 -0.02 0.01 0.00 0.00 -0.30 0.30 0.00 129.780
0.15 -0.07 -0.02 0.01 0.00 0.00 -0.30 0.30 0.00 129.814
0.15 -0.07 -0.02 0.01 0.00 0.00 -0.30 0.30 0.00 129.846
0.15 -0.07 -0.02 0.01 0.00 0.00 -0.30 0.30 0.00 129.882
0.15 -0.07 -0.02 0.03 0.00 0.00 -0.30 0.30 0.00 129.914
0.15 -0.07 -0.02 0.03 0.00 0.00 -0.30 0.30 0.00 129.952
0.15 -0.07 -0.02 0.04 0.00 0.00 -0.30 0.30 0.00 129.985
0.15 -0.07 -0.02 0.02 0.00 -0.00 -0.30 0.30 0.00 130.012
0.15 -0.07 -0.02 0.00 0.00 -0.00 -0.30 0.30 0.00 130.046
0.15 -0.07 -0.02 -0.03 0.00 -0.00 -0.30 0.30 0.00 130.081
0.15 -0.07 -0.02 -0.04 0.00 -0.00 -0.30 0.30 0.00 130.114
0.15 -0.07 -0.02 -0.05 0.00 -0.00 -0.30 0.30 0.00 130.148
0.15 -0.07 -0.02 -0.06 0.44 -0.00 -0.30 -0.30 0.00 130.182
0.15 -0.07 -0.02 -0.04 0.44 -0.00 -0.30 -0.30 0.00 130.214
0.15 -0.07 -0.02 -0.04 0.41 -0.01 -0.30 -0.30 0.00 130.246
0.15 -0.07 -0.02 -0.03 0.14 -0.02 -0.30 -0.30 0.00 130.314
0.15 -0.07 -0.02 -0.01 0.07 -0.03 -0.30 -0.30 0.00 130.345
0.15 -0.07 -0.02 0.03 0.06 -0.03 -0.30 -0.30 0.00 130.379
0.15 -0.07 -0.02 0.02 0.05 -0.03 -0.30 -0.30 0.00 130.413
0.15 -0.07 -0.02 0.05 0.04 -0.03 -0.30 -0.30 0.00 130.449
0.15 -0.07 -0.02 0.06 0.04 -0.03 -0.30 -0.30 0.00 130.482
0.15 -0.07 -0.02 0.07 0.04 -0.03 -0.30 -0.30 0.00 130.513
0.15 -0.07 -0.02 0.07 0.04 -0.03 -0.30 -0.30 0.00 130.550
0.15 -0.07 -0.02 0.06 0.05 -0.03 -0.30 -0.30 0.00 130.580
0.15 -0.07 -0.02 0.04 0.05 -0.03 -0.30 -0.30 0.00 130.613
0.15 -0.07 -0.02 0.04 0.05 -0.03 -0.30 -0.30 0.00 130.650
0.15 -0.07 -0.02 0.04 0.06 -0.03 -0.30 -0.30 0.00 130.683
0.15 -0.07 -0.02 0.05 0.06 -0.03 -0.30 -0.30 0.00 130.724
0.15 -0.07 -0.02 0.04 0.06 -0.03 -0.30 -0.30 0.00 130.754
0.15 -0.07 -0.02 0.05 0.06 -0.03 -0.30 -0.30 0.00 130.786
0.15 -0.07 -0.02 0.04 0.06 -0.03 -0.30 -0.30 0.00 130.816
0.15 -0.07 -0.02 0.04 0.06 -0.03 -0.30 -0.30 0.00 130.849
0.15 -0.07 -0.02 0.04 0.06 -0.03 -0.30 -0.30 0.00 130.883
0.15 -0.07 -0.02 0.03 0.06 -0.03 -0.30 -0.30 0.00 130.914
0.15 -0.07 -0.02 0.04 0.06 -0.03 -0.30 -0.30 0.00 130.948
0.15 -0.07 -0.02 0.04 0.06 -0.03 -0.30 -0.30 0.00 130.981
0.15 -0.07 -0.02 0.04 0.05 -0.03 -0.30 -0.30 0.00 131.013
0.15 -0.07 -0.02 0.04 0.06 -0.03 -0.30 -0.30 0.00 131.047
0.15 -0.07 -0.02 0.03 0.06 -0.03 -0.30 -0.30 0.00 131.080
0.15 -0.07 -0.02 0.05 0.05 -0.03 -0.30 -0.30 0.00 131.114
0.15 -0.07 -0.02 0.05 0.06 -0.03 -0.30 -0.30 0.00 131.148
0.15 -0.07 -0.02 0.05 0.05 -0.03 -0.30 -0.30 0.00 131.178
0.15 -0.07 -0.02 0.04 0.06 -0.03 -0.30 -0.30 0.00 131.213
0.15 -0.07 -0.02 0.04 0.06 -0.03 -0.30 -0.30 0.00 131.245
0.15 -0.07 -0.02 0.05 0.06 -0.03 -0.30 -0.30 0.00 131.279
0.15 -0.07 -0.02 0.05 0.06 -0.03 -0.30 -0.30 0.00 131.314
0.15 -0.07 -0.02 0.04 0.06 -0.03 -0.30 -0.30 0.00 131.346
0.15 -0.07 -0.02 -0.01 0.06 -0.03 -0.30 -0.30 0.00 131.380
0.15 -0.07 -0.02 -0.03 0.06 -0.03 -0.30 -0.30 0.00 131.412
0.15 -0.07 -0.02 -0.04 0.06 -0.03 -0.30 -0.30 0.00 131.447
