r_out p_out y_out r_disturb p_disturb y_disturb y_ref p_ref r_ref time
-0.47 -0.54 -0.51 -0.02 -0.04 -0.03 -0.50 -0.50 -0.50 29.080
-0.47 -0.54 -0.51 -0.02 -0.03 -0.03 -0.50 -0.50 -0.50 29.090
-0.47 -0.54 -0.51 -0.02 -0.03 -0.03 -0.50 -0.50 -0.50 29.100
-0.47 -0.54 -0.51 -0.02 -0.03 -0.03 -0.50 -0.50 -0.50 29.110
-0.47 -0.54 -0.51 -0.02 -0.03 -0.03 -0.50 -0.50 -0.50 29.120
-0.47 -0.55 -0.51 -0.02 -0.03 -0.03 -0.50 -0.50 -0.50 29.130
-0.47 -0.55 -0.51 -0.02 -0.03 -0.02 -0.50 -0.50 -0.50 29.140
-0.47 -0.55 -0.51 -0.02 -0.03 -0.02 -0.50 -0.50 -0.50 29.150
-0.47 -0.55 -0.51 -0.02 -0.03 -0.02 -0.50 -0.50 -0.50 29.160
-0.47 -0.55 -0.50 -0.02 -0.03 -0.02 -0.50 -0.50 -0.50 29.170
-0.47 -0.55 -0.50 -0.02 -0.03 -0.02 -0.50 -0.50 -0.50 29.180
-0.47 -0.55 -0.50 -0.02 -0.03 -0.02 -0.50 -0.50 -0.50 29.190
-0.47 -0.55 -0.50 -0.02 -0.03 -0.02 -0.50 -0.50 -0.50 29.200
-0.47 -0.55 -0.50 -0.02 -0.04 -0.02 -0.50 -0.50 -0.50 29.210
-0.47 -0.55 -0.50 -0.02 -0.04 -0.02 -0.50 -0.50 -0.50 29.220
-0.47 -0.55 -0.50 -0.02 -0.04 -0.01 0.00 -0.00 0.00 29.230
-0.47 -0.55 -0.50 -0.02 -0.04 -0.01 0.00 -0.00 0.00 29.240
-0.47 -0.55 -0.50 -0.02 -0.04 -0.01 0.00 -0.00 0.00 29.250
-0.47 -0.55 -0.51 -0.02 -0.04 -0.01 0.00 -0.00 0.00 29.260
-0.47 -0.55 -0.51 -0.02 -0.04 -0.01 0.00 -0.00 0.00 29.271
-0.46 -0.53 -0.50 -0.02 -0.04 -0.01 0.00 -0.00 0.00 29.280
-0.42 -0.48 -0.46 -0.02 -0.04 -0.02 0.00 -0.00 0.00 29.290
-0.36 -0.42 -0.39 -0.02 -0.05 -0.02 0.00 -0.00 0.00 29.300
-0.29 -0.36 -0.32 -0.02 -0.05 -0.02 0.00 -0.00 0.00 29.310
-0.22 -0.30 -0.23 -0.01 -0.06 -0.02 0.00 -0.00 0.00 29.321
-0.14 -0.23 -0.15 -0.01 -0.06 -0.02 0.00 -0.00 0.00 29.330
-0.06 -0.16 -0.08 -0.01 -0.06 -0.02 0.00 -0.00 0.00 29.341
0.02 -0.09 -0.01 -0.01 -0.06 -0.01 0.00 -0.00 0.00 29.350
0.09 -0.02 0.05 -0.01 -0.06 -0.01 0.00 -0.00 0.00 29.361
0.16 0.03 0.08 -0.01 -0.06 -0.01 0.00 -0.00 0.00 29.370
0.22 0.08 0.10 -0.02 -0.06 -0.00 0.00 -0.00 0.00 29.381
0.27 0.12 0.11 -0.02 -0.06 -0.00 0.00 -0.00 0.00 29.390
0.29 0.15 0.11 -0.02 -0.05 0.00 0.00 -0.00 0.00 29.401
0.30 0.18 0.11 -0.02 -0.05 0.00 0.00 -0.00 0.00 29.410
0.29 0.19 0.10 -0.02 -0.04 0.00 0.00 -0.00 0.00 29.421
0.28 0.20 0.08 -0.02 -0.04 -0.00 0.00 -0.00 0.00 29.430
0.26 0.20 0.06 -0.02 -0.03 -0.01 0.00 -0.00 0.00 29.441
0.24 0.20 0.04 -0.01 -0.03 -0.01 0.00 -0.00 0.00 29.450
0.22 0.19 0.03 -0.01 -0.03 -0.02 0.00 -0.00 0.00 29.461
0.20 0.17 0.01 -0.01 -0.03 -0.02 0.00 -0.00 0.00 29.470
0.18 0.15 0.01 -0.01 -0.03 -0.02 0.00 -0.00 0.00 29.481
0.17 0.13 0.01 -0.01 -0.03 -0.03 0.00 -0.00 0.00 29.490
0.16 0.10 0.01 -0.01 -0.03 -0.03 0.00 -0.00 0.00 29.500
0.15 0.08 0.01 -0.01 -0.04 -0.02 0.00 -0.00 0.00 29.511
0.14 0.05 0.01 -0.01 -0.04 -0.02 0.00 -0.00 0.00 29.520
0.13 0.03 0.02 -0.01 -0.04 -0.02 0.00 -0.00 0.00 29.531
0.12 0.02 0.02 -0.01 -0.04 -0.01 0.00 -0.00 0.00 29.540
0.11 0.00 0.02 -0.01 -0.05 -0.01 0.00 -0.00 0.00 29.551
0.10 -0.01 0.02 -0.01 -0.05 -0.01 0.00 -0.00 0.00 29.560
0.09 -0.01 0.03 -0.02 -0.05 -0.00 0.00 -0.00 0.00 29.571
0.08 -0.01 0.03 -0.02 -0.05 -0.00 0.00 -0.00 0.00 29.580
0.07 -0.01 0.03 -0.02 -0.05 -0.00 0.00 -0.00 0.00 29.591
0.06 -0.01 0.03 -0.02 -0.05 -0.00 0.00 -0.00 0.00 29.600
0.05 -0.01 0.03 -0.02 -0.05 -0.00 0.00 -0.00 0.00 29.611
0.04 -0.01 0.03 -0.01 -0.06 -0.00 0.00 -0.00 0.00 29.620
0.03 -0.01 0.02 -0.01 -0.06 -0.01 0.00 -0.00 0.00 29.631
0.02 -0.01 0.02 -0.01 -0.06 -0.01 0.00 -0.00 0.00 29.640
0.02 -0.01 0.02 -0.01 -0.06 -0.01 0.00 -0.00 0.00 29.651
0.01 -0.01 0.02 -0.01 -0.06 -0.01 0.00 -0.00 0.00 29.660
0.00 -0.01 0.01 -0.01 -0.06 -0.02 0.00 -0.00 0.00 29.671
-0.01 -0.01 0.01 -0.01 -0.06 -0.02 0.00 -0.00 0.00 29.680
-0.01 -0.01 0.01 -0.01 -0.06 -0.02 0.00 -0.00 0.00 29.691
-0.02 -0.01 0.01 -0.01 -0.06 -0.02 0.00 -0.00 0.00 29.701
-0.02 -0.01 0.01 -0.01 -0.06 -0.02 0.00 -0.00 0.00 29.710
-0.03 -0.01 0.02 -0.01 -0.06 -0.02 0.00 -0.00 0.00 29.721
-0.03 -0.01 0.02 -0.01 -0.06 -0.02 0.00 -0.00 0.00 29.731
-0.03 -0.01 0.02 -0.01 -0.06 -0.01 0.00 -0.00 0.00 29.741
-0.04 -0.01 0.02 -0.01 -0.06 -0.01 0.00 -0.00 0.00 29.751
-0.04 -0.01 0.02 -0.01 -0.06 -0.01 0.00 -0.00 0.00 29.761
-0.04 -0.01 0.02 -0.01 -0.06 -0.01 0.00 -0.00 0.00 29.771
-0.04 -0.01 0.02 -0.01 -0.06 -0.01 0.00 -0.00 0.00 29.781
-0.04 -0.01 0.02 -0.01 -0.06 -0.01 0.00 -0.00 0.00 29.791
-0.04 -0.01 0.02 -0.01 -0.06 -0.01 0.00 -0.00 0.00 29.801
-0.04 -0.01 0.02 -0.01 -0.06 -0.01 0.00 -0.00 0.00 29.811
-0.04 -0.01 0.02 -0.01 -0.06 -0.01 0.00 -0.00 0.00 29.821
-0.04 -0.01 0.02 -0.01 -0.06 -0.01 0.00 -0.00 0.00 29.831
-0.04 -0.01 0.02 -0.01 -0.06 -0.01 0.00 -0.00 0.00 29.841
-0.04 -0.01 0.02 -0.01 -0.06 -0.01 0.00 -0.00 0.00 29.851
-0.04 -0.01 0.02 -0.01 -0.06 -0.01 0.00 -0.00 0.00 29.861
-0.04 -0.01 0.02 -0.01 -0.06 -0.01 0.00 -0.00 0.00 29.871
-0.04 -0.01 0.02 -0.01 -0.06 -0.01 0.00 -0.00 0.00 29.881
-0.04 -0.01 0.02 -0.01 -0.06 -0.01 0.00 -0.00 0.00 29.891
-0.04 -0.01 0.02 -0.01 -0.06 -0.01 0.00 -0.00 0.00 29.901
-0.04 -0.01 0.02 -0.01 -0.06 -0.01 0.00 -0.00 0.00 29.911
-0.04 -0.01 0.02 -0.01 -0.06 -0.01 0.00 -0.00 0.00 29.921
-0.04 -0.01 0.02 -0.01 -0.06 -0.01 0.00 -0.00 0.00 29.931
-0.04 -0.01 0.02 -0.01 -0.06 -0.01 0.00 -0.00 0.00 29.941
-0.04 -0.01 0.02 -0.01 -0.06 -0.01 0.00 -0.00 0.00 29.951
-0.04 -0.01 0.02 -0.01 -0.06 -0.01 0.00 -0.00 0.00 29.961
-0.04 -0.01 0.02 -0.01 -0.05 -0.01 0.00 -0.00 0.00 29.971
-0.04 -0.01 0.03 -0.01 -0.05 -0.01 0.00 -0.00 0.00 29.981
-0.04 -0.01 0.03 -0.01 -0.05 -0.01 0.00 -0.00 0.00 29.991
-0.04 -0.01 0.02 -0.01 -0.05 -0.01 0.00 -0.00 0.00 30.001
-0.04 -0.01 0.02 -0.01 -0.05 -0.01 0.00 -0.00 0.00 30.011
-0.04 -0.01 0.03 -0.01 -0.05 -0.01 0.00 -0.00 0.00 30.021
-0.04 -0.01 0.03 -0.01 -0.05 -0.01 0.00 -0.00 0.00 30.031
-0.04 -0.01 0.03 -0.01 -0.05 -0.01 0.00 -0.00 0.00 30.041
-0.04 -0.01 0.03 -0.01 -0.05 -0.00 0.00 -0.00 0.00 30.051
-0.05 -0.01 0.03 -0.01 -0.05 -0.00 0.00 -0.00 0.00 30.061
-0.05 -0.01 0.03 -0.02 -0.05 -0.00 0.00 -0.00 0.00 30.071
-0.05 -0.01 0.03 -0.02 -0.05 0.00 0.00 -0.00 0.00 30.081
-0.05 -0.01 0.03 -0.02 -0.05 0.00 0.00 -0.00 0.00 30.091
-0.05 -0.01 0.04 -0.02 -0.05 0.01 0.00 -0.00 0.00 30.101
-0.05 -0.01 0.04 -0.02 -0.05 0.01 0.00 -0.00 0.00 30.111
-0.05 -0.00 0.04 -0.02 -0.05 0.01 0.00 -0.00 0.00 30.121
-0.06 -0.00 0.05 -0.02 -0.05 0.02 0.00 -0.00 0.00 30.131
-0.06 0.00 0.05 -0.03 -0.05 0.02 0.00 -0.00 0.00 30.141
-0.06 0.00 0.06 -0.03 -0.05 0.02 0.00 -0.00 0.00 30.150
-0.06 0.01 0.06 -0.03 -0.04 0.03 0.00 -0.00 0.00 30.161
-0.06 0.01 0.06 -0.03 -0.04 0.03 0.00 -0.00 0.00 30.171
-0.06 0.01 0.07 -0.04 -0.03 0.04 0.00 -0.00 0.00 30.181
-0.06 0.02 0.07 -0.04 -0.03 0.04 0.00 -0.00 0.00 30.191
-0.06 0.02 0.08 -0.04 -0.02 0.05 0.00 -0.00 0.00 30.200
-0.06 0.03 0.08 -0.04 -0.02 0.05 0.00 -0.00 0.00 30.210
-0.05 0.03 0.08 -0.05 -0.01 0.06 0.00 -0.00 0.00 30.220
-0.04 0.04 0.07 -0.05 -0.01 0.07 0.00 -0.00 0.00 30.231
-0.03 0.04 0.06 -0.05 0.00 0.07 0.00 -0.00 0.00 30.241
-0.02 0.05 0.05 -0.05 0.01 0.08 0.00 -0.00 0.00 30.251
-0.01 0.05 0.04 -0.05 0.02 0.08 0.00 -0.00 0.00 30.260
0.00 0.05 0.03 -0.05 0.03 0.08 0.00 -0.00 0.00 30.270
0.02 0.05 0.02 -0.05 0.04 0.08 0.00 -0.00 0.00 30.280
0.02 0.04 0.01 -0.05 0.05 0.09 0.00 -0.00 0.00 30.290
0.03 0.04 -0.01 -0.05 0.06 0.09 0.00 -0.00 0.00 30.300
0.04 0.04 -0.01 -0.05 0.07 0.09 0.00 -0.00 0.00 30.310
0.04 0.04 -0.02 -0.05 0.08 0.09 0.00 -0.00 0.00 30.320
0.05 0.03 -0.02 -0.05 0.10 0.09 0.00 -0.00 0.00 30.330
0.05 0.03 -0.03 -0.04 0.11 0.08 0.00 -0.00 0.00 30.340
0.06 0.03 -0.02 -0.04 0.12 0.08 0.00 -0.00 0.00 30.350
0.06 0.02 -0.02 -0.04 0.13 0.08 0.00 -0.00 0.00 30.360
0.06 0.02 -0.02 -0.03 0.15 0.08 0.00 -0.00 0.00 30.370
0.07 0.01 -0.02 -0.03 0.16 0.08 0.00 -0.00 0.00 30.380
0.07 0.01 -0.02 -0.02 0.17 0.08 0.00 -0.00 0.00 30.390
0.08 0.00 -0.02 -0.02 0.18 0.08 0.00 -0.00 0.00 30.400
0.08 -0.00 -0.02 -0.02 0.19 0.08 0.00 -0.00 0.00 30.410
0.09 -0.01 -0.02 -0.01 0.20 0.07 0.00 -0.00 0.00 30.420
0.09 -0.01 -0.02 -0.01 0.21 0.07 0.00 -0.00 0.00 30.430
0.10 -0.01 -0.02 -0.00 0.22 0.07 0.00 -0.00 0.00 30.440
0.10 -0.01 -0.02 0.00 0.24 0.07 0.00 -0.00 0.00 30.450
0.11 -0.01 -0.02 0.01 0.25 0.06 0.00 -0.00 0.00 30.460
0.12 -0.01 -0.02 0.02 0.26 0.06 0.00 -0.00 0.00 30.470
0.13 -0.00 -0.02 0.02 0.27 0.05 0.00 -0.00 0.00 30.480
0.14 0.00 -0.03 0.03 0.28 0.05 0.00 -0.00 0.00 30.490
0.14 0.01 -0.03 0.04 0.29 0.04 0.00 -0.00 0.00 30.500
0.15 0.01 -0.04 0.04 0.31 0.04 0.00 -0.00 0.00 30.510
0.15 0.01 -0.04 0.05 0.32 0.03 0.00 -0.00 0.00 30.520
0.15 0.02 -0.05 0.06 0.33 0.02 0.00 -0.00 0.00 30.530
0.15 0.02 -0.06 0.06 0.34 0.02 0.00 -0.00 0.00 30.540
0.15 0.02 -0.07 0.07 0.36 0.01 0.00 -0.00 0.00 30.550
0.14 0.02 -0.07 0.08 0.37 0.00 0.00 -0.00 0.00 30.560
0.14 0.03 -0.07 0.09 0.38 -0.01 0.00 -0.00 0.00 30.570
0.13 0.03 -0.07 0.10 0.39 -0.01 0.00 -0.00 0.00 30.580
0.12 0.03 -0.06 0.11 0.40 -0.02 0.00 -0.00 0.00 30.590
0.12 0.03 -0.05 0.12 0.41 -0.03 0.00 -0.00 0.00 30.600
0.11 0.03 -0.04 0.13 0.42 -0.04 0.00 -0.00 0.00 30.610
0.10 0.03 -0.03 0.15 0.43 -0.04 0.00 -0.00 0.00 30.620
0.10 0.03 -0.01 0.16 0.44 -0.05 0.00 -0.00 0.00 30.630
0.09 0.03 -0.01 0.17 0.45 -0.06 0.00 -0.00 0.00 30.640
0.08 0.02 0.00 0.18 0.46 -0.07 0.00 -0.00 0.00 30.650
0.07 0.02 0.01 0.18 0.47 -0.08 0.00 -0.00 0.00 30.660
0.07 0.01 0.02 0.19 0.48 -0.09 0.00 -0.00 0.00 30.670
0.06 0.00 0.02 0.20 0.49 -0.09 0.00 -0.00 0.00 30.680
0.05 -0.01 0.01 0.21 0.49 -0.10 0.00 -0.00 0.00 30.690
0.04 -0.02 0.01 0.22 0.50 -0.11 0.00 -0.00 0.00 30.700
0.04 -0.02 0.00 0.23 0.50 -0.12 0.00 -0.00 0.00 30.710
0.03 -0.03 -0.00 0.23 0.51 -0.13 0.00 -0.00 0.00 30.720
0.02 -0.04 -0.01 0.24 0.51 -0.14 0.00 -0.00 0.00 30.730
0.02 -0.05 -0.01 0.25 0.51 -0.14 0.00 -0.00 0.00 30.740
0.01 -0.06 -0.01 0.25 0.51 -0.15 0.00 -0.00 0.00 30.750
-0.00 -0.07 -0.01 0.26 0.51 -0.16 0.00 -0.00 0.00 30.760
-0.01 -0.08 -0.01 0.26 0.51 -0.16 0.00 -0.00 0.00 30.770
-0.02 -0.09 0.00 0.26 0.50 -0.17 0.00 -0.00 0.00 30.780
-0.03 -0.09 0.01 0.27 0.50 -0.17 0.00 -0.00 0.00 30.790
-0.03 -0.10 0.01 0.27 0.50 -0.17 0.00 -0.00 0.00 30.800
-0.04 -0.11 0.01 0.27 0.50 -0.18 0.00 -0.00 0.00 30.810
-0.04 -0.11 0.02 0.28 0.49 -0.18 0.00 -0.00 0.00 30.820
-0.03 -0.12 0.01 0.28 0.49 -0.19 0.00 -0.00 0.00 30.830
-0.03 -0.12 0.01 0.29 0.49 -0.20 0.00 -0.00 0.00 30.840
-0.02 -0.13 0.01 0.29 0.48 -0.20 0.00 -0.00 0.00 30.850
-0.02 -0.13 0.00 0.30 0.48 -0.21 0.00 -0.00 0.00 30.860
-0.02 -0.13 -0.00 0.30 0.47 -0.22 0.00 -0.00 0.00 30.870
-0.01 -0.13 -0.01 0.31 0.46 -0.23 0.00 -0.00 0.00 30.880
-0.01 -0.13 -0.01 0.31 0.46 -0.24 0.00 -0.00 0.00 30.890
-0.01 -0.12 -0.01 0.32 0.45 -0.25 0.00 -0.00 0.00 30.900
-0.02 -0.12 -0.01 0.32 0.44 -0.26 0.00 -0.00 0.00 30.910
-0.02 -0.11 -0.02 0.32 0.43 -0.27 0.00 -0.00 0.00 30.920
-0.02 -0.10 -0.01 0.33 0.42 -0.28 0.00 -0.00 0.00 30.930
-0.02 -0.09 -0.01 0.33 0.41 -0.29 0.00 -0.00 0.00 30.940
-0.03 -0.08 -0.01 0.34 0.40 -0.30 0.00 -0.00 0.00 30.950
-0.03 -0.07 -0.00 0.35 0.38 -0.32 0.00 -0.00 0.00 30.960
-0.03 -0.07 -0.00 0.35 0.37 -0.33 0.00 -0.00 0.00 30.970
-0.04 -0.07 0.00 0.35 0.35 -0.34 0.00 -0.00 0.00 30.980
-0.04 -0.06 0.01 0.36 0.33 -0.35 0.00 -0.00 0.00 30.990
-0.04 -0.06 0.01 0.36 0.31 -0.37 0.00 -0.00 0.00 31.000
-0.05 -0.06 0.01 0.37 0.30 -0.38 0.00 -0.00 0.00 31.010
-0.06 -0.06 0.02 0.37 0.28 -0.39 0.00 -0.00 0.00 31.020
-0.06 -0.06 0.02 0.38 0.26 -0.40 0.00 -0.00 0.00 31.030
-0.07 -0.05 0.02 0.38 0.24 -0.41 0.00 -0.00 0.00 31.040
-0.08 -0.05 0.03 0.38 0.23 -0.42 0.00 -0.00 0.00 31.050
-0.08 -0.04 0.04 0.39 0.21 -0.42 0.00 -0.00 0.00 31.060
-0.09 -0.03 0.04 0.39 0.19 -0.43 0.00 -0.00 0.00 31.070
-0.10 -0.03 0.05 0.39 0.17 -0.43 0.00 -0.00 0.00 31.080
-0.11 -0.02 0.06 0.39 0.16 -0.44 0.00 -0.00 0.00 31.090
-0.12 -0.03 0.06 0.39 0.14 -0.44 0.00 -0.00 0.00 31.100
-0.13 -0.03 0.07 0.39 0.12 -0.44 0.00 -0.00 0.00 31.110
-0.13 -0.04 0.08 0.40 0.10 -0.45 0.00 -0.00 0.00 31.120
-0.13 -0.04 0.09 0.40 0.08 -0.45 0.00 -0.00 0.00 31.130
-0.14 -0.05 0.10 0.40 0.06 -0.45 0.00 -0.00 0.00 31.140
-0.14 -0.06 0.11 0.40 0.03 -0.45 0.00 -0.00 0.00 31.150
-0.15 -0.06 0.12 0.40 0.01 -0.45 0.00 -0.00 0.00 31.160
-0.16 -0.06 0.13 0.40 -0.00 -0.45 0.00 -0.00 0.00 31.170
-0.16 -0.06 0.13 0.40 -0.02 -0.45 0.00 -0.00 0.00 31.180
-0.17 -0.05 0.14 0.40 -0.04 -0.45 0.00 -0.00 0.00 31.190
-0.16 -0.05 0.15 0.41 -0.06 -0.45 0.00 -0.00 0.00 31.200
-0.14 -0.04 0.15 0.41 -0.08 -0.45 0.00 -0.00 0.00 31.210
-0.12 -0.03 0.16 0.41 -0.10 -0.45 0.00 -0.00 0.00 31.220
-0.11 -0.02 0.15 0.41 -0.12 -0.45 0.00 -0.00 0.00 31.230
-0.09 -0.01 0.14 0.41 -0.14 -0.45 0.00 -0.00 0.00 31.240
-0.08 -0.00 0.13 0.41 -0.15 -0.44 0.00 -0.00 0.00 31.250
-0.07 0.00 0.11 0.40 -0.17 -0.44 0.00 -0.00 0.00 31.260
-0.07 0.01 0.09 0.40 -0.18 -0.44 0.00 -0.00 0.00 31.270
-0.07 0.02 0.07 0.39 -0.19 -0.43 0.00 -0.00 0.00 31.280
-0.07 0.03 0.05 0.39 -0.21 -0.43 0.00 -0.00 0.00 31.290
-0.06 0.03 0.04 0.38 -0.22 -0.42 0.00 -0.00 0.00 31.300
-0.06 0.04 0.03 0.37 -0.23 -0.41 0.00 -0.00 0.00 31.310
-0.06 0.04 0.02 0.37 -0.24 -0.40 0.00 -0.00 0.00 31.320
-0.05 0.04 0.02 0.36 -0.26 -0.39 0.00 -0.00 0.00 31.330
-0.05 0.05 0.03 0.35 -0.27 -0.38 0.00 -0.00 0.00 31.340
-0.04 0.05 0.03 0.34 -0.27 -0.37 0.00 -0.00 0.00 31.350
-0.04 0.05 0.03 0.33 -0.28 -0.36 0.00 -0.00 0.00 31.360
-0.03 0.05 0.03 0.32 -0.29 -0.35 0.00 -0.00 0.00 31.370
-0.02 0.05 0.02 0.31 -0.30 -0.34 0.00 -0.00 0.00 31.381
-0.01 0.05 0.02 0.30 -0.31 -0.32 0.00 -0.00 0.00 31.390
-0.01 0.05 0.01 0.29 -0.32 -0.31 0.00 -0.00 0.00 31.401
-0.00 0.05 0.01 0.28 -0.33 -0.30 0.00 -0.00 0.00 31.411
0.00 0.05 0.01 0.27 -0.33 -0.28 0.00 -0.00 0.00 31.421
0.01 0.05 0.00 0.26 -0.34 -0.27 0.00 -0.00 0.00 31.431
0.01 0.05 0.00 0.25 -0.34 -0.26 0.00 -0.00 0.00 31.441
0.01 0.05 0.00 0.24 -0.35 -0.24 0.00 -0.00 0.00 31.450
0.01 0.05 0.00 0.22 -0.35 -0.22 0.00 -0.00 0.00 31.461
0.01 0.05 0.00 0.21 -0.36 -0.21 0.00 -0.00 0.00 31.471
0.01 0.05 0.01 0.20 -0.36 -0.19 0.00 -0.00 0.00 31.481
0.01 0.05 0.01 0.18 -0.36 -0.17 0.00 -0.00 0.00 31.491
0.01 0.05 0.01 0.17 -0.36 -0.15 0.00 -0.00 0.00 31.501
0.01 0.05 0.01 0.15 -0.37 -0.13 0.00 -0.00 0.00 31.511
0.02 0.05 0.01 0.14 -0.36 -0.12 0.00 -0.00 0.00 31.521
0.02 0.06 0.01 0.13 -0.36 -0.10 0.00 -0.00 0.00 31.531
0.02 0.06 0.01 0.11 -0.36 -0.08 0.00 -0.00 0.00 31.541
0.02 0.07 0.01 0.10 -0.35 -0.06 0.00 -0.00 0.00 31.550
0.02 0.07 0.01 0.08 -0.35 -0.05 0.00 -0.00 0.00 31.561
0.02 0.08 0.01 0.07 -0.34 -0.03 0.00 -0.00 0.00 31.571
0.02 0.08 0.01 0.05 -0.34 -0.01 0.00 -0.00 0.00 31.581
0.02 0.07 0.01 0.04 -0.33 0.01 0.00 -0.00 0.00 31.591
0.02 0.07 0.01 0.03 -0.32 0.02 0.00 -0.00 0.00 31.601
0.02 0.07 0.01 0.02 -0.31 0.04 0.00 -0.00 0.00 31.611
0.02 0.06 0.01 0.01 -0.30 0.05 0.00 -0.00 0.00 31.621
0.02 0.05 0.01 -0.01 -0.29 0.06 0.00 -0.00 0.00 31.631
0.02 0.05 0.01 -0.02 -0.28 0.08 0.00 -0.00 0.00 31.641
0.02 0.04 0.01 -0.03 -0.27 0.09 0.00 -0.00 0.00 31.650
0.02 0.03 0.01 -0.04 -0.26 0.11 0.00 -0.00 0.00 31.661
0.03 0.03 0.01 -0.05 -0.25 0.12 0.00 -0.00 0.00 31.671
0.03 0.03 0.01 -0.06 -0.24 0.14 0.00 -0.00 0.00 31.681
0.03 0.02 0.01 -0.07 -0.22 0.15 0.00 -0.00 0.00 31.691
0.03 0.02 0.02 -0.08 -0.21 0.17 0.00 -0.00 0.00 31.701
0.03 0.02 0.02 -0.09 -0.19 0.18 0.00 -0.00 0.00 31.711
0.03 0.01 0.01 -0.10 -0.18 0.19 0.00 -0.00 0.00 31.721
0.03 0.01 0.01 -0.11 -0.17 0.20 0.00 -0.00 0.00 31.731
0.04 0.01 0.00 -0.11 -0.15 0.21 0.00 -0.00 0.00 31.741
0.04 0.00 -0.00 -0.12 -0.14 0.21 0.00 -0.00 0.00 31.750
0.04 0.00 -0.01 -0.12 -0.13 0.22 0.00 -0.00 0.00 31.761
0.05 0.00 -0.02 -0.13 -0.12 0.22 0.00 -0.00 0.00 31.771
0.05 0.00 -0.02 -0.13 -0.10 0.22 0.00 -0.00 0.00 31.782
0.05 0.00 -0.02 -0.13 -0.09 0.22 0.00 -0.00 0.00 31.792
0.06 0.00 -0.03 -0.13 -0.08 0.22 0.00 -0.00 0.00 31.802
0.07 0.00 -0.03 -0.13 -0.06 0.22 0.00 -0.00 0.00 31.812
0.07 0.00 -0.03 -0.13 -0.05 0.22 0.00 -0.00 0.00 31.822
0.07 -0.00 -0.03 -0.13 -0.04 0.22 0.00 -0.00 0.00 31.832
0.08 -0.00 -0.03 -0.13 -0.03 0.22 0.00 -0.00 0.00 31.842
0.08 -0.00 -0.03 -0.13 -0.02 0.21 0.00 -0.00 0.00 31.851
0.08 0.00 -0.03 -0.13 -0.00 0.21 0.00 -0.00 0.00 31.862
0.08 0.00 -0.04 -0.13 0.01 0.21 0.00 -0.00 0.00 31.872
0.08 0.01 -0.04 -0.13 0.02 0.20 0.00 -0.00 0.00 31.882
0.08 0.01 -0.04 -0.13 0.04 0.20 0.00 -0.00 0.00 31.892
0.08 0.02 -0.05 -0.12 0.05 0.19 0.00 -0.00 0.00 31.902
0.08 0.02 -0.05 -0.12 0.06 0.18 0.00 -0.00 0.00 31.912
0.08 0.02 -0.05 -0.12 0.07 0.18 0.00 -0.00 0.00 31.922
0.09 0.01 -0.06 -0.11 0.09 0.17 0.00 -0.00 0.00 31.932
0.09 0.01 -0.07 -0.11 0.10 0.15 0.00 -0.00 0.00 31.942
0.10 0.01 -0.08 -0.11 0.11 0.14 0.00 -0.00 0.00 31.951
0.11 0.00 -0.09 -0.10 0.11 0.13 0.00 -0.00 0.00 31.962
0.12 -0.00 -0.10 -0.10 0.12 0.11 0.00 -0.00 0.00 31.972
0.13 -0.01 -0.11 -0.09 0.12 0.10 0.00 -0.00 0.00 31.982
0.14 -0.02 -0.13 -0.09 0.13 0.08 0.00 -0.00 0.00 31.992
0.15 -0.02 -0.13 -0.09 0.13 0.06 0.00 -0.00 0.00 32.002
0.16 -0.03 -0.13 -0.08 0.13 0.05 0.00 -0.00 0.00 32.012
0.16 -0.03 -0.12 -0.08 0.13 0.03 0.00 -0.00 0.00 32.022
0.16 -0.03 -0.10 -0.07 0.13 0.02 0.00 -0.00 0.00 32.032
0.15 -0.03 -0.09 -0.07 0.13 0.01 0.00 -0.00 0.00 32.042
0.14 -0.03 -0.07 -0.07 0.13 -0.01 0.00 -0.00 0.00 32.051
0.13 -0.03 -0.05 -0.06 0.13 -0.02 0.00 -0.00 0.00 32.062
0.12 -0.03 -0.04 -0.06 0.13 -0.03 0.00 -0.00 0.00 32.072
0.11 -0.03 -0.03 -0.06 0.13 -0.04 0.00 -0.00 0.00 32.082
0.10 -0.03 -0.02 -0.06 0.13 -0.05 0.00 -0.00 0.00 32.092
0.08 -0.04 -0.01 -0.06 0.13 -0.06 0.00 -0.00 0.00 32.102
0.07 -0.04 -0.00 -0.06 0.13 -0.06 0.00 -0.00 0.00 32.112
0.06 -0.04 0.00 -0.05 0.12 -0.07 0.00 -0.00 0.00 32.122
0.05 -0.05 0.01 -0.05 0.12 -0.07 0.00 -0.00 0.00 32.132
0.04 -0.05 0.01 -0.05 0.12 -0.08 0.00 -0.00 0.00 32.142
0.03 -0.05 0.02 -0.05 0.12 -0.08 0.00 -0.00 0.00 32.151
0.02 -0.05 0.02 -0.05 0.11 -0.09 0.00 -0.00 0.00 32.162
0.01 -0.05 0.03 -0.05 0.11 -0.09 0.00 -0.00 0.00 32.172
0.00 -0.06 0.03 -0.05 0.11 -0.09 0.00 -0.00 0.00 32.182
-0.00 -0.06 0.03 -0.05 0.11 -0.10 0.00 -0.00 0.00 32.192
-0.01 -0.06 0.03 -0.04 0.10 -0.10 0.00 -0.00 0.00 32.202
-0.01 -0.07 0.03 -0.04 0.10 -0.11 0.00 -0.00 0.00 32.212
